Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burundi,BDI,1.11,1.22,1.26,1.04,2,2.2,2.66,4,6.1,9.17,11,11,11.1,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cabo Verde,CPV,32,34.7,37.5,40.3,42.7,50.3,57.2,59.5,61.9,69.4,70.3,72.8,73.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cambodia,KHM,3.1,4.94,6,14,6.43,32.4,32.9,..,52.3,53.7,58,59.7,60.7,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cameroon,CMR,5,7.5,10,16.2,18.3,20.6,23.2,29.7,36.5,41.2,42,41.8,41.9,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Canada,CAN,83,83,85.8,87.1,90,91.2,92.7,94.6,91.9,92.3,93.9,94,94,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cayman Islands,CYM,69.5,69.7,71.4,74.1,77,79,81.1,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Central African Republic,CAF,2.2,2.4,2.5,2.7,2.9,3.1,4,5.1,7.51,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Chad,TCD,1.9,2.1,2.5,2.9,3.5,5.8,6.4,7,7.6,8.34,13.1,12.5,13.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Chile,CHL,52.2,55.1,58,61.1,76.6,83.6,82.3,84.9,85,87.5,90.2,93.5,94.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,China,CHN,38.3,42.3,45.8,47.9,50.3,53.2,54.3,59.2,64.1,70.1,73.1,75.6,77.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Colombia,COL,40.4,49,51.7,52.6,55.9,58.1,62.3,64.1,65,69.8,73,72.8,77.3,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Comoros,COM,5.5,5.98,6.5,6.98,7.46,7.94,8.48,..,16.4,22.4,30.7,32.8,35.7,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Congo, Dem. Rep.",COD,1.2,1.68,2.2,3,3.8,10.1,8.62,11.7,16.5,21.6,28.4,29.5,30.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Congo, Rep.",COG,5.6,6.11,6.6,7.11,7.62,8.12,8.65,..,..,24.8,33.3,37.5,38.4,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Costa Rica,CRI,39.2,47.5,46,53,59.8,65.9,71.6,73.5,81.2,80.5,82.7,82.6,85.4,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cote d'Ivoire,CIV,2.9,4.4,6.6,10,38.4,41.2,43.8,37.5,36.3,36,36,38.4,40.7,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Croatia,HRV,57.8,61.9,66.7,68.6,69.8,72.7,67.1,75.3,79.1,78.3,81.3,82.1,83.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cuba,CUB,16,21.2,27.9,29.1,37.3,43,57.1,62.7,68,71.1,67.6,68.3,71.3,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Curacao,CUW,..,..,..,..,..,61.9,68.1,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cyprus,CYP,56.9,60.7,65.5,69.3,71.7,75.9,80.7,84.4,86.1,90.8,90.8,89.6,91.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Czechia,CZE,70.5,73.4,74.1,74.2,75.7,76.5,78.7,80.7,80.9,81.3,82.7,84.5,86,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Denmark,DNK,89.8,92.3,94.6,96,96.3,97,97.1,97.3,98,96.5,98.9,97.9,98.8,99.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Djibouti,DJI,7,9.4,12.7,17,22.9,30.8,55.7,57.1,58.5,59.9,61.4,63.3,65,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominica,DMA,48.6,49.8,51,57.5,65,67,69.6,..,73.4,75.7,82.7,83.3,83.8,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominican Republic,DOM,38,42.3,45.9,49.6,54.2,63.9,67.6,74.8,79.7,81.6,85.2,81.5,84.6,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ecuador,ECU,31.4,35.1,40.3,45.6,48.9,54.1,55.8,57.5,59.2,70.7,69.1,69.7,72.7,77.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Egypt, Arab Rep.",EGY,25.6,26.4,29.4,33.9,37.8,41.2,45,46.9,57.3,71.9,72.1,72.2,72.7,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,El Salvador,SLV,18.9,20.3,23.1,24.8,26.8,29,33.8,43.8,50.5,54.6,61.8,65.5,67.7,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Equatorial Guinea,GNQ,11.5,13.9,16.4,18.9,21.3,23.8,26.2,..,49.1,55,58.7,59.3,60.4,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eritrea,ERI,0.7,0.8,0.9,0.99,1.08,1.18,2.5,5.3,11.2,14.3,18.4,18.7,20,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Estonia,EST,76.5,78.4,80,84.2,88.4,87.2,88.1,89.4,90.2,89.1,91,91.5,93.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eswatini,SWZ,18.1,20.8,24.7,25,25.6,28.6,35.3,39.4,43.9,49,54,57.5,57.6,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ethiopia,ETH,1.1,2.9,4.6,7.7,13.9,15.4,15.6,15.9,16,16.1,16.7,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Faroe Islands,FRO,80.7,85.3,90,93.3,94.2,95.1,97.6,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Fiji,FJI,28,33.7,35.2,37.4,42.5,49.4,53.6,58.2,63.2,68.6,74.5,78.2,79.3,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Finland,FIN,88.7,89.9,91.5,86.5,86.4,87.7,87.5,88.9,89.6,92.2,92.8,93,93.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,France,FRA,77.8,81.4,81.9,83.8,78,79.3,80.5,82,83.3,84.7,86.1,85.3,86.8,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,French Polynesia,PYF,49,52.9,56.8,60.7,64.6,68.4,72.7,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Gabon,GAB,18,24,30.5,38.1,45.8,48.1,51.6,55.4,59.5,63.9,68.6,70.7,71.9,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Gambia, The",GMB,10.9,12.4,14,15.6,17.6,19.9,22.5,28.3,31.1,34.2,37.6,44,45.9,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Georgia,GEO,31.5,36.9,43.3,49.1,47.6,58.5,59.7,62.7,68.8,72.5,76.4,78.7,81.9,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Germany,DEU,81.3,82.4,84.2,86.2,87.6,84.2,84.4,87,88.1,89.8,91.4,91.6,92.5,93.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ghana,GHA,9,10.6,15,19,23,28,37.9,43,22.1,62.5,68.6,69.4,69.9,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Gibraltar,GIB,65,65,..,..,..,94.4,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Greece,GRC,51.7,55.1,59.9,63.2,66.8,69.1,69.9,72.2,75.7,78.1,78.5,83.2,85,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Greenland,GRL,64,64.9,65.8,66.7,67.6,68.5,69.5,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Grenada,GRD,30,32,35,51.6,52.5,53.3,54.2,61.4,64.3,67.4,70.6,74.3,74.1,..
